Gasage (yr BP),CH4 Mean
-34.0,1644.85
-35.0,1657.29
-36.0,1670.09
-37.0,1682.7
-38.0,1693.28
-39.0,1704.53
-40.0,1714.43
-41.0,1724.78
-42.0,1735.47
-43.0,1736.53
-44.0,1742.07
-45.0,1748.88
-46.0,1751.28
-47.0,1754.48
-48.0,1765.54
-49.0,1772.33
-50.0,1773.22
-51.0,1771.22
-52.0,1772.66
-53.0,1777.33
-54.0,1777.05
-55.0,1774.16
-56.0,1774.94
-57.0,1781.38
-58.0,1787.01
-59.0,1793.52
-60.0,1798.91
-61.0,1803.14
-62.0,1808.12
-63.0,1813.43
-64.0,1822.53
-65.0,1834.26
-66.0,1843.12
-67.0,1849.58
-68.0,1857.33
-69.0,1866.58
-70.0,1878.93
-71.0,1895.28
-72.0,1911.83
13.0,907.0
126.0,784.0
130.0,762.0
151.0,710.0
184.0,727.0
202.0,696.0
207.0,683.0
258.0,679.0
297.0,676.0
345.0,651.0
382.0,684.0
403.0,681.0
459.0,670.0
478.0,644.0
533.0,670.0
539.0,668.0
554.0,680.0
668.0,667.0
678.0,669.0
736.0,680.0
742.0,643.0
861.0,664.0
869.0,647.0
897.0,648.0
939.0,640.0
946.0,636.0
1037.0,635.0
1092.0,633.0
1132.0,644.0
1217.0,643.0
1225.0,629.0
1248.0,635.0
1338.0,635.0
1349.0,650.0
1431.0,631.0
1443.0,638.0
1527.0,632.0
1551.0,630.0
1620.0,610.0
1629.0,623.0
1677.0,623.0
1717.0,615.0
1726.0,623.0
1774.0,618.0
1793.0,613.0
1907.0,613.0
1951.0,605.0
1995.0,599.0
2045.0,604.0
2104.0,591.0
2115.0,594.0
2119.0,609.0
2208.0,602.0
2275.0,597.0
2309.0,595.0
2321.0,594.0
2325.0,597.0
2389.0,593.0
2414.0,604.0
2424.0,592.0
2482.0,579.0
2515.0,603.0
2519.0,590.0
2602.0,592.0
2624.0,586.0
2717.0,590.0
2720.0,580.0
2724.0,588.0
2735.0,583.0
2793.0,580.0
2800.0,578.0
2857.0,577.0
2877.0,577.0
2998.0,581.0
3026.0,573.0
3107.0,576.0
3139.0,589.0
3210.0,568.0
3308.0,581.0
3360.0,589.0
3433.0,573.0
3506.0,570.0
3517.0,560.0
3572.0,575.0
3602.0,596.0
3614.0,578.0
3690.0,578.0
3697.0,581.0
3773.0,576.0
3892.0,574.0
3905.0,578.0
